Gene,Group 1 Fold Regulation,Comments,Group 2 Fold Regulation,Comments,Group 3 Fold Regulation,Comments,Group 4 Fold Regulation,Comments
Grem2,-2.51,,-6.81,,-3.43,,-3.95,
Grn,-2.4,,-1.84,,-2.38,,-2.36,
Hdac4,-3.8,,-7.87,,-4.37,,-3.79,
Hdac5,410.6,A,334.26,A,631.74,A,387.72,A
Hdac7,-5.48,,-2.48,,-2.08,,-2.73,
Hdac9,-2.42,A,-5.6,A,-3.49,,-4.93,A
Hrh1,-3.32,,-2.1,,-2.18,,-3.61,
Ifna11,-1.29,,-1.74,,-3.46,,-1.44,
Ifna14,2.25,C,1.68,C,-1.19,C,2.02,C
Ifna2,2.25,C,1.68,C,-1.19,C,2.02,C
Ifna4,1.28,,1.89,,-2.76,,1.32,
Ifna9,2.25,C,1.68,C,-1.19,C,2.02,C
Ifnab,2.25,C,1.68,C,1.72,,2.02,C
Ifnar1,-4.42,,-5.88,,-5.55,,-6.04,
Ifnar2,-3.4,,-3.36,,-3.26,,-4.12,
Ifnb1,2.25,C,8.9,,-1.19,C,2.02,C
Ifne,2.25,C,1.68,C,-1.19,C,2.02,C
Ifng,-3.22,,-4.32,,-1.38,,-2.5,
Ifngr1,-4.12,,-3.08,,-2.23,,-4.81,
Ifngr2,-4.51,,-4.61,,-4.17,,-5.43,
Ifnk,-3.6,A,-8.89,A,-8.79,A,-5.82,A
Ik,-2.36,A,-19.03,A,-2.61,,-5.29,A
Il10,-1.1,,-1.47,,-2.94,,-1.22,
Il10ra,-1.57,,-2.26,,-4.31,,-2.79,
Il10rb,-6.15,,-6.11,,-3.93,,-5.36,
Il11,1.33,,-1.01,,-2.01,,1.2,
Il11ra1,-26.64,A,-23.75,A,-6.69,,-12.61,A
Il12a,25.87,,14.92,,32.76,A,27.56,
Il12b,1.88,,-1.37,,1.14,,-1.14,
Il12rb1,2.25,C,1.68,C,-1.19,C,2.02,C
Il12rb2,-2.1,,-2.82,,-5.61,,-2.28,
Il13,-1.11,,-3.01,,-1.37,,-2.42,
Il13ra1,-2.99,,-1.64,,-3.21,,-2.23,
Il13ra2,1.11,,-1.21,,-2.41,,-1,
Il15,-4.96,A,-4.67,A,-3.88,,-4.19,A
Il15ra,-3.09,A,-2.88,,-3.74,,-3.48,A
